period,sectorId,sector-name,fuelId,fuel-name,stateId,state-name,value,value-units
2019,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,AK,Alaska,14.949233,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,CO,Coal,AK,Alaska,1.685702,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,AK,Alaska,17.5226,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,AK,Alaska,34.157534,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,AL,Alabama,36.526814,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,CO,Coal,AL,Alabama,30.221573,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,AL,Alabama,39.082824,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,AL,Alabama,105.831211,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,AR,Arkansas,22.446022,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,CO,Coal,AR,Arkansas,22.930961,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,AR,Arkansas,19.401854,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,AR,Arkansas,64.778837,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,AZ,Arizona,41.888558,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,CO,Coal,AZ,Arizona,24.645335,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,AZ,Arizona,25.57827,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,AZ,Arizona,92.112163,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,CA,California,238.050917,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,CO,Coal,CA,California,2.952396,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,CA,California,115.509885,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,CA,California,356.513198,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,CO,Colorado,36.058275,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,CO,Coal,CO,Colorado,26.138264,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,CO,Colorado,28.902727,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,CO,Colorado,91.099265,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,CT,Connecticut,36.49494,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,CT,Connecticut,20.958462,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,CO,Coal,CT,Connecticut,.0829,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,CT,Connecticut,15.453578,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,DE,Delaware,13.540875,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,DE,Delaware,8.468054,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,CO,Coal,DE,Delaware,.2084,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,DE,Delaware,4.864422,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,FL,Florida,232.630532,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,FL,Florida,127.068296,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,CO,Coal,FL,Florida,22.332445,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,FL,Florida,83.22979,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,GA,Georgia,68.480904,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,CO,Coal,GA,Georgia,26.11626,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,GA,Georgia,41.274469,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,GA,Georgia,135.871633,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,HI,Hawaii,18.971691,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,CO,Coal,HI,Hawaii,1.355911,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,HI,Hawaii,.012074,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,HI,Hawaii,20.339677,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,IA,Iowa,27.493283,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,CO,Coal,IA,Iowa,25.470591,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,IA,Iowa,22.375289,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,IA,Iowa,75.339164,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,PE,Petroleum,ID,Idaho,12.70858,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,CO,Coal,ID,Idaho,.225959,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,NG,Natural Gas,ID,Idaho,6.960558,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,ID,Idaho,19.895097,million metric tons of CO2
2019,TT,Total carbon dioxide emissions from all sectors,TO,All Fuels,IL,Illinois,202.099778,million metric tons of CO2
